1700013H16Rik,4930570D08Rik,4930579C12Rik,Adap1,Adsl,Anp32e,Asb13,Caln1,Ccnyl1,Chga,Cpne4,Cyp2d10,Dnajb1,En1,Eno1,F830016B08Rik,Fam83d,Gas8,Gcfc2,Gm10230,Gm10642,Gm11832,Gm12907,Gm13944,Gm15922,Gm16564,Gm17508,Gm26542,Gm26877,Gm28154,Gnaq,Gng2,Hacl1,Hcar1,Iah1,Inppl1,Ins1,Irs4,Kirrel3os,Klk8,Krt87,Lilra6,Lmtk2,Lonrf3,Marcks,Mdh2,Mob3b,Myh6,Nat8f1,Neurog2,Noto,Olfr1006,Olfr1290,Olfr612,Olig2,Pdzd2,Podn,Ppia,Ppp1r13l,Ppp1r14a,Prss44,Ptprc,Rbp3,Rcor1,Rpl22l1,Sox17,Sssca1,Tbx19,Tceal5,Tead1,Tgtp2,Tnc,Top3b,Zbtb17
0,0,0,0,0,0,0,0,0,0.76748,0.14038,0,0.27809,0,0.14038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14038,0,0,0,0.14038,0,0,0.87138,0,0,0,0,0,0,0.96823,0.27809,0,0,0,0,0,0,0,0,0,0,0,1.5516,0,0,0,0.14038,0,0,0.14038,0,0,0.14038,0,0.65612,0,0.14038,0,0
0,0,0,0,0.14329,0,0,0,0,1.0748,0,0,0,0,0,0,0,0.14329,0.14329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9359,0,0.14329,0,0,0,0.28374,0,0.14329,0.14329,0,0.14329,0,0,0,0,0,0,0,0,0,0.78088,0,0,0,0,0,0.54738,0.54738,0,0,0,0,0,0,0,0,0
0,0,0,0,0.14709,0.14709,0,0,0,0,0,0,0,0,0.14709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14709,0,0,0,0,0,0,0,0,0,0,0,0,0.68361,0,0,0,0,0,0,0,0,0,0,0,0,1.4731,0,0,0,0,0,0,0.56066,0,0,0,0,0.14709,0,0,0,0
0,0,0,0,0,0,0.16759,0,0,0.88862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16759,0.16759,0,0,0,0,0.76505,0,0,0,0,0,0,0,0,0.4858,0.3307,0,0,0,0.16759,0,0,0,0,0,0,0,0.63083,0,0.16759,0,0,0.16759,0,0.16759,0,0,0,0,0,0,0,0.16759,0
0,0,0,0,0.17537,0,0,0.17537,0,1.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17537,0.17537,0,0,0,0,0,0,0.17537,0,0,0,0,0,0,0.17537,0,0.65683,0,0,0,0,0,0,0,0,0,0,0,0.17537,1.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.16656,0,0,0,0,0,0,0,0,0,0.16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16656,0,0,0,0.32872,0,0,0,0,0,0,0,0,0,0.62737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16656,0,0,0.32872,0,0,0,0,0.16656,0,0,0,0
0,0,0,0,0.15248,0,0,0.15248,0,0,0,0,0.15248,0,0.15248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15248,0,0,0,0,0,1.9287,0,0,0,0,0,0,0,0.30155,0.57932,0,0,0,0,0,0,0,0,0,0,0,1.5687,0,0,0,0.15248,0.15248,0,0.15248,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36072,0,0.18327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95423,0,0,0,0,0,0,0,0,0,0,0,0,1.4558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18327
0,0,0,0,0,0,0,0,0,0.84197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15686,0,0.15686,0,0,0,0,4.3823,0,0.45649,0.15686,0,0,0,0,0.31002,0.31002,0.15686,0,0,0,0,0,0,0,0,0,0,1.1481,0,0,0,0,0,0.31002,0.15686,0,0,0.15686,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.8751,0,0,0,0,0,0.31327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60016,0.15855,0,0,0,0,0,0,0,0,0,0,0,0,0.84938,0.15855,0,0,0,0,0,0,0,0,0,0,0,1.0623,0,0,0,0,0,0,0.15855,0,0.15855,0,0,0,0,0,0.15855,0.15855
0,0,0,0,0,0,0,0,0,0.6181,0,0.16382,0.6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16382,0.32344,0,0,0,0,0,0,0,0,0.16382,0,0.75035,0,0.47554,0,0,0,0,0,0,0,0,0,0,1.4322,0,0,0,0.16382,0,0.47554,0.16382,0,0.32344,0,0,0,0,0,0,0
